31-03-2026 19:47:10 | POST | cafeteria-api/produtos
31-03-2026 19:47:10 | POST | cafeteria-api/produtos
31-03-2026 19:47:10 | POST | cafeteria-api/produtos
31-03-2026 19:47:10 | POST | cafeteria-api/produtos
31-03-2026 19:47:11 | POST | cafeteria-api/produtos
31-03-2026 19:47:11 | POST | cafeteria-api/produtos
31-03-2026 19:47:11 | POST | cafeteria-api/produtos
31-03-2026 19:47:11 | POST | cafeteria-api/produtos
31-03-2026 19:47:11 | POST | cafeteria-api/produtos
31-03-2026 19:47:11 | POST | cafeteria-api/produtos
31-03-2026 19:47:11 | POST | cafeteria-api/produtos
31-03-2026 19:47:11 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:12 | POST | cafeteria-api/produtos
31-03-2026 19:47:13 | POST | cafeteria-api/produtos
31-03-2026 19:47:13 | POST | cafeteria-api/produtos
31-03-2026 19:47:13 | POST | cafeteria-api/produtos
31-03-2026 19:47:13 | POST | cafeteria-api/produtos
31-03-2026 19:47:13 | POST | cafeteria-api/produtos
31-03-2026 19:47:36 | GET | Cafeteria-API/produtos
31-03-2026 19:48:44 | GET | Cafeteria-API/produtos
31-03-2026 19:49:28 | GET | Cafeteria-API/produtos
31-03-2026 19:49:29 | GET | Cafeteria-API/produtos
31-03-2026 19:49:32 | GET | Cafeteria-API/produtos
31-03-2026 19:49:50 | GET | Cafeteria-API/produtos
31-03-2026 19:49:54 | GET | Cafeteria-API/produtos
31-03-2026 19:49:56 | GET | Cafeteria-API/produtos
31-03-2026 19:50:06 | GET | Cafeteria-API/produtos
31-03-2026 19:50:11 | GET | Cafeteria-API/produtos
31-03-2026 19:50:21 | GET | Cafeteria-API/produtos
31-03-2026 19:50:22 | GET | Cafeteria-API/produtos
31-03-2026 19:50:33 | GET | Cafeteria-API/produtos
31-03-2026 19:51:09 | GET | Cafeteria-API/produtos
31-03-2026 19:51:10 | GET | Cafeteria-API/produtos
31-03-2026 19:51:16 | GET | Cafeteria-API/produtos
31-03-2026 19:51:18 | GET | Cafeteria-API/produtos
31-03-2026 19:51:24 | GET | Cafeteria-API/produtos
31-03-2026 19:52:27 | GET | Cafeteria-API/produtos
31-03-2026 19:52:49 | GET | Cafeteria-API/produtos
31-03-2026 19:52:57 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:52:57 | POST | cafeteria-api/produtos
31-03-2026 19:52:57 | POST | cafeteria-api/produtos
31-03-2026 19:52:57 | POST | cafeteria-api/produtos
31-03-2026 19:52:58 | POST | cafeteria-api/produtos
31-03-2026 19:52:58 | POST | cafeteria-api/produtos
31-03-2026 19:52:58 | POST | cafeteria-api/produtos
31-03-2026 19:52:58 | POST | cafeteria-api/produtos
31-03-2026 19:52:58 | POST | cafeteria-api/produtos
31-03-2026 19:52:59 | POST | cafeteria-api/produtos
31-03-2026 19:52:59 | POST | cafeteria-api/produtos
31-03-2026 19:52:59 | POST | cafeteria-api/produtos
31-03-2026 19:53:00 | POST | cafeteria-api/produtos
